Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Hartford,270462030,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00041 ARCH ST,STATE OF CONN DEPT OF TRANSPORTATION,0.21,4993/282,"$52,430",$0,"$52,430","$52,430",POINT (-72.671777034 41.761937007)
Enfield,000200010040,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00031 BAILEY RD,CONN STATE OF,123.8,445/900,"$512,500",$0,"$512,500","$512,500",POINT (-72.507805098 41.979688228)
East Haddam,00275500,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00119 LEESVILLE RD,CONN STATE OF-DEP,143.5,929/177,"$572,250","$229,880","$802,130","$802,130",POINT (-72.474969769 41.503530356)
Hamden,3026003000000,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",01790 PARADISE AVE,CT DEPT OF ENERGY ENVIROMENT PROTECTION,52.74,4751/267,"$304,570",$0,"$304,570","$304,570",POINT (-72.929495524 41.412206284)
Columbia,00044800,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 RT 87 EAST,CONN STATE OF,0.88,0/0,"$1,820",$0,"$1,820","$1,820",POINT (-72.285455011 41.687413002)
Cornwall,98106009,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 CLARK RD,CONNECTICUT STATE OF,100.31,76/22,"$539,000",$0,"$539,000","$539,000",POINT (-73.304980503 41.813075266)
Durham,C0052700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 HIGGANUM RD,CONNECTICUT STATE OF,68,0/0,"$40,460",$0,"$40,460","$40,460",POINT (-72.650088818 41.465250088)
Cheshire,00053000,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",01953 WATERBURY RD,STATE OF CONNECTICUT,1.3,1480/263,"$49,100",$0,"$49,100","$49,100",POINT (-72.950727236 41.540928968)
Colchester,G0511500,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 STANAVAGE RD,GOLDEN HILL PAUGUSETTE RESERVATION,1.15,123/915,"$45,300",$0,"$45,300","$45,300",POINT (-72.260159209 41.549930108)
East Haddam,00364500,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 EH COLCHESTER TPKE,CONN STATE OF,1.24,0/0,"$51,620",$0,"$51,620","$51,620",POINT (-72.402256551 41.512322578)
Easton,00297929,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 ROCK HOUSE ROAD,STATE OF CONNECTICUT,15.13,383/17,"$4,130",$0,"$4,130","$4,130",POINT (-73.32267093 41.289239997)
Groton,169818323233 EB17,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",285 TOWER AVE,CONNECTICUT AIRPORT AUTHORITY,0,1117/669,$0,"$53,900","$53,900","$53,900",POINT (-72.041364038 41.336651981)
Hamden,2625009000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00457 PARADISE AVE,CONNECTICUT STATE OF,0.36,597/721,"$38,920",$0,"$38,920","$38,920",POINT (-72.935810852 41.379135313)
East Haddam,00124700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00194 MT PARNASSUS RD,CONN STATE OF,0.2,79/637,"$113,400",$0,"$113,400","$113,400",POINT (-72.411990055 41.470968986)
Hamden,2524001000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00270 PARADISE AVE,CONNECTICUT STATE OF,7,565/346,"$90,650",$0,"$90,650","$90,650",POINT (-72.938941197 41.374166749)
