ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Unnamed_Column_11,Unnamed_Column_12
13510310,JH324063,06/27/2024 05:59:00 PM,021XX W 95TH ST,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,2213,022
13512990,JH327437,06/30/2024 11:23:00 AM,016XX N CENTRAL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,2531,025
13511936,JH325602,06/28/2024 10:35:00 PM,072XX S SOUTH SHORE DR,0460,BATTERY,SIMPLE,APARTMENT,False,False,0334,003
13511640,JH325119,06/28/2024 02:39:00 PM,025XX W CERMAK RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1034,010
13512680,JH327082,06/30/2024 02:28:00 AM,016XX N WELLS ST,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,False,False,1814,018
13510799,JH324712,06/27/2024 06:00:00 PM,025XX N KEDZIE BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1413,014
13512073,JH326073,06/29/2024 10:27:00 AM,007XX E 92ND PL,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,0633,006
13510495,JH324433,06/28/2024 12:27:00 AM,054XX S HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,ABANDONED BUILDING,False,False,0934,009
13513350,JH327293,06/29/2024 02:30:00 PM,058XX W 63RD ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,0812,008
13511903,JH325391,06/28/2024 04:00:00 PM,064XX N RIDGE BLVD,0460,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,False,False,2412,024
13510746,JH324691,06/28/2024 09:40:00 AM,0000X E 75TH ST,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,True,False,0623,006
13514024,JH328650,06/30/2024 10:30:00 PM,021XX N MILWAUKEE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,False,False,1431,014
13513715,JH328144,06/30/2024 09:20:00 PM,001XX N KARLOV AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1114,011
13513185,JH327668,06/30/2024 02:58:00 PM,035XX W 84TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,0834,008
13514641,JH326642,06/29/2024 01:00:00 PM,075XX S WENTWORTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,False,False,0623,006
13511398,JH325570,06/28/2024 07:00:00 PM,065XX S HARVARD AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,0722,007
13511229,JH325320,06/28/2024 05:30:00 PM,002XX W 79TH ST,0560,ASSAULT,SIMPLE,STREET,False,False,0623,006
13510253,JH324196,06/27/2024 08:15:00 PM,031XX S HALSTED ST,1330,CRIMINAL TRESPASS,TO LAND,POLICE FACILITY / VEHICLE PARKING LOT,True,False,0913,009
13514471,JH328375,06/29/2024 07:30:00 PM,020XX W Division St,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,RESTAURANT,False,False,1212,012
13512921,JH327422,06/28/2024 02:30:00 PM,034XX N OLEANDER AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,False,False,1631,016
13510955,JH325041,06/27/2024 11:59:00 PM,052XX W BELDEN AVE,0810,THEFT,OVER $500,STREET,False,False,2515,025
13512295,JH326614,06/29/2024 02:00:00 PM,039XX S PRINCETON AVE,0810,THEFT,OVER $500,STREET,False,False,0925,009
13511492,JH325656,06/28/2024 10:38:00 PM,072XX S BENNETT AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,0333,003
13510057,JH323782,06/27/2024 03:37:00 PM,024XX W 51ST ST,051A,ASSAULT,AGGRAVATED - HANDGUN,SMALL RETAIL STORE,False,False,0923,009
13512359,JH325877,06/28/2024 05:45:00 PM,005XX N MICHIGAN AVE,0870,THEFT,POCKET-PICKING,SIDEWALK,False,False,1834,018
13514216,JH328888,06/28/2024 09:30:00 PM,109XX S DOTY AVE W,0820,THEFT,$500 AND UNDER,OTHER (SPECIFY),False,False,0513,005
13511455,JH325573,06/28/2024 09:06:00 PM,051XX W LAKE ST,0460,BATTERY,SIMPLE,CTA PLATFORM,False,False,1532,015
13512762,JH327216,06/29/2024 06:00:00 PM,031XX W 79TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0835,008
13510521,JH324463,06/28/2024 03:26:00 AM,066XX N OKETO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1611,016
13514368,JH329288,07/01/2024 12:00:00 AM,087XX W EVELYN LN,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1614,016
13513246,JH327647,06/30/2024 02:23:00 PM,054XX N WINTHROP AVE,0560,ASSAULT,SIMPLE,APARTMENT,False,True,2023,020
13514233,JH329024,06/30/2024 01:10:00 PM,039XX N BROADWAY,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,SIDEWALK,False,True,1925,019
13512299,JH326595,06/29/2024 04:30:00 PM,026XX W CERMAK RD,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,1034,010
13512560,JH326899,06/29/2024 09:00:00 PM,021XX W SUMMERDALE AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,2012,020
13514169,JH328191,06/30/2024 09:15:00 PM,036XX N HALSTED ST,0870,THEFT,POCKET-PICKING,SIDEWALK,False,False,1925,019
13511956,JH326277,06/29/2024 12:30:00 PM,003XX E ILLINOIS ST,0820,THEFT,$500 AND UNDER,SMALL RETAIL STORE,False,False,1834,018
13513048,JH327298,06/30/2024 02:25:00 AM,030XX W LAKE ST,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,False,False,1222,012
13512619,JH326902,06/29/2024 10:45:00 PM,040XX W HARRISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1132,011
13511814,JH326094,06/29/2024 11:10:00 AM,019XX W CERMAK RD,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1034,010
13512356,JH326549,06/29/2024 04:55:00 PM,041XX W 15TH ST,0820,THEFT,$500 AND UNDER,RESIDENCE,False,True,1011,010
13512260,JH326626,06/29/2024 06:08:00 PM,089XX S SOUTH CHICAGO AVE,0460,BATTERY,SIMPLE,STREET,False,False,0423,004
13512156,JH326558,06/28/2024 03:50:00 PM,025XX W MONTROSE AVE,0460,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,False,False,1911,019
13513618,JH328226,06/30/2024 11:58:00 PM,008XX W ADDISON ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,True,False,1924,019
13511057,JH324984,06/28/2024 01:00:00 AM,083XX S JUSTINE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0614,006
13512372,JH326213,06/27/2024 06:19:00 PM,012XX W GEORGE ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,RESIDENCE - YARD (FRONT / BACK),False,False,1933,019
13510922,JH323960,06/27/2024 04:51:00 PM,067XX S CLYDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0331,003
13515393,JH330305,06/28/2024 07:30:00 PM,042XX S PRINCETON AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,0925,009
13509828,JH323685,06/27/2024 02:30:00 PM,005XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,CTA PLATFORM,True,False,1834,018
13511112,JH325189,06/27/2024 10:00:00 PM,035XX S WOOD ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,0912,009
13512193,JH326561,06/29/2024 11:00:00 AM,008XX W BLACKHAWK ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1822,018
13512854,JH327345,06/30/2024 02:00:00 AM,051XX S HARPER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0234,002
13512424,JH326662,06/29/2024 06:31:00 PM,039XX W FULLERTON AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,2524,025
13510125,JH324170,06/27/2024 07:30:00 PM,024XX W PRATT BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,2412,024
13514296,JH327781,06/30/2024 04:02:00 PM,062XX S INDIANA AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,0311,003
