Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Unnamed_Column_18,Unnamed_Column_19
Front to Front,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Motor Vehicle In Transport,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (greater than 4ft wide), Not Divided",39.10605367,-77.00153133,"(39.10605367°, -77.00153133°)",,
DD56430040,240031305,ROCKVILLE,Property Damage Crash,07/02/2024 07:56:00 PM,No,Interstate (State),Northbound,Lane 1,2,South,51.67,FEET,Level,IS 270 LOCAL LANES (NB),,,,
MCP26740059,240030935,MONTGOMERY,Injury Crash,06/30/2024 06:00:00 PM,No,Maryland (State) Route,"Northbound, Southbound",Lane 1,2,South,14,FEET,Level,RIDGE RD,,,,
Rear To Side,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (curbed), Not Divided",39.17537842,-77.2380027,"(39.17537842°, -77.2380027°)",,
MCP2212004S,240030970,MONTGOMERY,Property Damage Crash,07/01/2024 12:21:00 AM,Yes,County Route,Westbound,Median Area,3,East,7.48,FEET,Level,RANDOLPH RD,,,,
DD5612005H,240031060,ROCKVILLE,Injury Crash,07/01/2024 02:54:00 PM,No,Municipality Route,Northbound,"Left Turn Lane, Right Turn Lane",4,East,0,FEET,Downhill,GREAT FALLS RD,FALLS RD MARYLAND AVE POTOMAC VALLEY RD,,,
Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Not Applicable,Non-Junction,,Curve Right,No Defects,Not Divided,39.00609834,-77.03938943,"(39.00609834°, -77.03938943°)",,
"Sideswipe, Same Direction",Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Crossover-Related,,Straight,No Defects,Not Divided,39.00970867,-77.0404695,"(39.00970867°, -77.0404695°)",,
Single Vehicle,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Curb,Motor Vehicle In Transport,Non-Junction,,Curve Left,No Defects,Not Divided,39.00889731,-77.09236686,"(39.00889731°, -77.09236686°)",,
"Sideswipe, Opposite Direction",Clear,Dry,Dark - Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,Motor Vehicle In Transport,Crossover-Related,,Straight,No Defects,Not Divided,39.115696,-77.20400468,"(39.115696°, -77.20400468°)",,
Single Vehicle,Clear,,Daylight,,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,"Other Fixed Object (wall, building, tunnel, etc.)",,,,,,,39.14860317,-77.22313028,"(39.14860317°, -77.22313028°)",,
Rear To Side,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,Not Divided,39.28472343,-77.20996554,"(39.28472343°, -77.20996554°)",,
"Sideswipe, Same Direction",Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Non-Junction,,Curve Left,No Defects,"Divided, Flush Median (greater than 4ft wide), Divided, Raised Median (curbed)",39.1671,-77.20515833,"(39.1671°, -77.20515833°)",,
Angle,Cloudy,Dry,Daylight,"No Controls, Stop Sign","Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Driveway Access or Related,,Straight,No Defects,Not Divided,39.28978454,-77.20100646,"(39.28978454°, -77.20100646°)",,
EJ7888006C,240031278,GAITHERSBURG,Injury Crash,07/02/2024 05:41:00 PM,No,Maryland (State) Route,Northbound,Lane 2,3,East,12.57,FEET,Level,S FREDERICK RD,,,,
MCP3259004T,240030241,MONTGOMERY,Property Damage Crash,06/26/2024 03:52:00 PM,No,County Route,"Northbound, Southbound","Lane 1, Shoulder Area",1,West,2.84,FEET,Level,FALLWIND LA,,,,
DD5538004G,240031080,ROCKVILLE,Injury Crash,07/01/2024 04:35:00 PM,No,Maryland (State) Route,Northbound,Lane 1,1,South,9.94,FEET,Level,HUNGERFORD DR,,,,Wheelchair (electric)
MCP3348002Z,240030306,MONTGOMERY,Property Damage Crash,06/26/2024 10:56:00 PM,Yes,County Route,Northbound,Other,1,South,57.47,FEET,Level,LIVINGSTON ST,,,,
Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,Motor Vehicle In Transport,Through Roadway,,Straight,No Defects,"Divided, Flush Median (greater than 4ft wide)",39.094895,-77.11381333,"(39.094895°, -77.11381333°)",,
Other,Clear,Dry,Dark - Lighted,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (greater than 4ft wide), Not Divided",39.1541055,-77.28734374,"(39.1541055°, -77.28734374°)",,
MCP2667009C,240030857,MONTGOMERY,Property Damage Crash,06/30/2024 09:00:00 AM,No,Maryland (State) Route,Southbound,Lane 2,3,West,53.44,FEET,Level,MONTGOMERY VILLAGE AVE (SB/L),,,,
Angle,Clear,Dry,Daylight,"No Controls, Stop Sign","Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (curbed), Not Divided",39.03937965,-77.05429398,"(39.03937965°, -77.05429398°)",,
Single Vehicle,Cloudy,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use","Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedalcycle,,Acceleration/Deceleration Lane,,Straight,No Defects,"Divided, Flush Median (greater than 4ft wide)",39.02959499,-77.22828614,"(39.02959499°, -77.22828614°)",,
Single Vehicle,Rain,Wet,Dark - Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Utility Pole/Light Support,,Non-Junction,,Straight,No Defects,Not Divided,39.05730767,-77.05657417,"(39.05730767°, -77.05657417°)",,
"Sideswipe, Same Direction",Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Motor Vehicle In Transport,Non-Junction,,Straight,No Defects,"Divided, Raised Median (curbed)",39.19358833,-77.24336167,"(39.19358833°, -77.24336167°)",,
Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Through Roadway,,Straight,No Defects,"Divided, Raised Median (curbed)",39.06117367,-77.05254186,"(39.06117367°, -77.05254186°)",,
Single Vehicle,Rain,Wet,Dark - Not Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use","Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,,Non-Junction,,Straight,No Defects,Not Divided,39.1522949,-77.16479472,"(39.1522949°, -77.16479472°)",,
MCP2298015X,240030409,MONTGOMERY,Injury Crash,06/27/2024 02:45:00 PM,Yes,,,,0,,,FEET,,,,Parking Lot Way 20910 FREDERICK ROAD PARKING LOT OF WALMART,,Pedestrian
Rear To Side,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Non-Junction,,Straight,No Defects,"Divided, Raised Median (curbed)",38.99160854,-77.02643057,"(38.99160854°, -77.02643057°)",,
EJ7888006B,240030281,GAITHERSBURG,Property Damage Crash,07/01/2024 06:55:00 PM,No,Spur,"Northbound, Westbound","Lane 3, Right Turn Lane",3,East,26.03,FEET,Level,,,,,
MCP3105005J,240030957,MONTGOMERY,Property Damage Crash,06/30/2024 10:00:00 PM,,Private Route,"Eastbound, Westbound",Lane 1,1,West,30.6,FEET,Level,,MAGNOLIA DR,,,
Single Vehicle,Clear,Dry,Dark - Not Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,"Other Post, Pole, Or Support",,Through Roadway,,Curve Right,No Defects,Not Divided,38.98926,-77.1793,"(38.98926°, -77.1793°)",,
"Sideswipe, Same Direction",Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Non-Junction,,Straight,No Defects,Not Divided,39.00178402,-77.02524373,"(39.00178402°, -77.02524373°)",,
MCP3379000X,240030410,MONTGOMERY,Property Damage Crash,06/27/2024 03:15:00 PM,No,Maryland (State) Route,Unknown,"Lane 1, Left Turn Lane","1, 2",North,0,FEET,Level,,METZ DR,,,
Front to Rear,Clear,,Daylight,,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,,,,,,,39.1812935,-77.27063218,"(39.1812935°, -77.27063218°)",,
"Sideswipe, Same Direction",Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,,Non-Junction,,Straight,No Defects,"Divided, Raised Median (curbed)",39.01159458,-76.97899463,"(39.01159458°, -76.97899463°)",,
Other,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Motor Vehicle In Transport,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (curbed), Not Divided",39.05431254,-77.14314204,"(39.05431254°, -77.14314204°)",,
"Sideswipe, Same Direction",Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Flush Median (greater than 4ft wide)",39.0122927,-77.09091724,"(39.0122927°, -77.09091724°)",,
Rear To Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Parked Vehicle,Motor Vehicle In Transport,Non-Junction,,Straight,No Defects,Not Divided,38.97680613,-77.13112584,"(38.97680613°, -77.13112584°)",,
