INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
271016897,07/08/2023,19:54:00,STATEN ISLAND,INSIDE,120,0,COMMERCIAL,GROCERY/BODEGA,True,18-24,M,ASIAN / PACIFIC ISLANDER,25-44,M,ASIAN / PACIFIC ISLANDER,949935,164099,40.617024,-74.123601,POINT (-74.123601 40.617024)
273135998,08/19/2023,01:49:00,BRONX,OUTSIDE,41,0,STREET,(null),False,45-64,M,WHITE HISPANIC,18-24,M,WHITE,1011153,235311,40.812511,-73.902811,POINT (-73.902811 40.812511)
275597026,10/07/2023,02:11:00,BROOKLYN,OUTSIDE,88,0,STREET,(null),True,(null),(null),(null),25-44,M,BLACK,991154,189620,40.687139,-73.975103,POINT (-73.975103 40.687139)
269666886,06/10/2023,22:44:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),False,(null),(null),(null),25-44,M,BLACK,1017226,185362,40.67539116,-73.88111748,POINT (-73.88111748 40.67539116)
268973603,05/27/2023,21:15:00,QUEENS,INSIDE,113,0,DWELLING,MULTI DWELL - APT BUILD,True,25-44,M,BLACK,18-24,F,BLACK,1052364,187814,40.681921,-73.754415,POINT (-73.754415 40.681921)
273635840,08/29/2023,16:48:00,BROOKLYN,OUTSIDE,68,0,STREET,(null),False,18-24,M,WHITE HISPANIC,25-44,M,ASIAN / PACIFIC ISLANDER,979376,168851,40.630132150882496,-74.01755944499043,POINT (-74.01755944499043 40.630132150882496)
278852377,12/11/2023,11:30:00,BRONX,INSIDE,47,0,COMMERCIAL,GROCERY/BODEGA,False,(null),(null),(null),18-24,M,BLACK,1025653,258347,40.875681,-73.850287,POINT (-73.850287 40.875681)
275597025,10/08/2023,02:20:00,BRONX,OUTSIDE,50,2,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),45-64,M,WHITE HISPANIC,1010207,258108,40.875083,-73.906141,POINT (-73.906141 40.875083)
272831774,08/13/2023,21:19:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),False,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1020819,188795,40.684802,-73.868145,POINT (-73.868145 40.684802)
272144288,07/31/2023,01:42:00,QUEENS,OUTSIDE,101,0,STREET,(null),False,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1053936,157130,40.597689,-73.749063,POINT (-73.749063 40.597689)
