VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,01/01/2021 01:19:07 AM,01/01/2021 01:42:57 AM,1,6.7,1,N,234,36,1,23.5,0.5,0.5,8.19,0,0.3,35.49,2.5
2,01/01/2021 12:07:43 AM,01/01/2021 12:22:22 AM,2,1.61,1,N,161,48,1,10.5,0.5,0.5,1,0,0.3,15.3,2.5
2,01/01/2021 12:31:49 AM,01/01/2021 12:48:21 AM,1,4.94,1,N,68,33,1,16.5,0.5,0.5,4.06,0,0.3,24.36,2.5
2,01/01/2021 12:56:34 AM,01/01/2021 01:19:04 AM,1,5.71,1,N,48,80,2,20.5,0.5,0.5,0,0,0.3,24.3,2.5
1,01/01/2021 01:19:49 AM,01/01/2021 01:23:48 AM,3,0.7,1,N,144,211,1,5,3,0.5,1.75,0,0.3,10.55,2.5
2,01/01/2021 01:44:02 AM,01/01/2021 01:57:18 AM,3,0.98,1,N,230,48,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,01/01/2021 12:19:55 AM,01/01/2021 12:33:23 AM,1,2.63,1,N,68,4,1,11.5,0.5,0.5,2.7,0,0.3,18,2.5
2,01/01/2021 01:27:19 AM,01/01/2021 01:30:49 AM,1,1.1,1,N,151,239,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,01/01/2021 12:33:02 AM,01/01/2021 12:50:29 AM,1,3.22,1,N,48,144,1,13.5,0.5,0.5,3.46,0,0.3,20.76,2.5
2,01/01/2021 12:24:10 AM,01/01/2021 12:38:46 AM,5,3.97,1,N,107,142,1,14,0.5,0.5,3.56,0,0.3,21.36,2.5
2,01/01/2021 01:37:42 AM,01/01/2021 02:01:01 AM,1,6.43,1,N,264,264,1,22.5,0.5,0.5,4.76,0,0.3,28.56,0
2,01/01/2021 12:42:56 AM,01/01/2021 12:48:58 AM,1,1.62,1,N,238,236,1,7.5,0.5,0.5,2.82,0,0.3,14.12,2.5
2,01/01/2021 01:51:27 AM,01/01/2021 01:55:13 AM,1,0.66,1,N,166,24,2,4.5,0.5,0.5,0,0,0.3,5.8,0
2,01/01/2021 02:57:39 AM,01/01/2021 03:00:22 AM,1,0.78,1,N,74,74,1,4.5,0.5,0.5,2.2,0,0.3,8,0
1,01/01/2021 12:29:16 AM,01/01/2021 12:40:18 AM,1,5.3,1,N,132,139,1,16.5,0.5,0.5,4.45,0,0.3,22.25,0
2,01/01/2021 01:01:18 AM,01/01/2021 01:19:21 AM,1,7.37,1,N,164,256,1,23,0.5,0.5,5.36,0,0.3,32.16,2.5
2,01/01/2021 12:00:53 AM,01/01/2021 12:09:47 AM,1,2.66,1,N,24,237,1,10,0.5,0.5,4.14,0,0.3,17.94,2.5
2,01/01/2021 01:34:29 AM,01/01/2021 02:02:06 AM,1,5.89,1,N,186,112,2,22.5,0.5,0.5,0,0,0.3,26.3,2.5
1,01/01/2021 01:12:04 AM,01/01/2021 01:27:20 AM,1,3.1,1,N,186,239,1,13,3,0.5,2,0,0.3,18.8,2.5
2,01/01/2021 01:03:44 AM,01/01/2021 01:11:55 AM,1,2.39,1,N,90,143,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
2,01/01/2021 12:41:39 AM,01/01/2021 12:47:00 AM,1,1.43,2,N,141,263,2,52,0,0.5,0,0,0.3,55.3,2.5
2,01/01/2021 01:13:10 AM,01/01/2021 01:34:51 AM,1,10.6,1,N,231,159,1,31.5,0.5,0.5,0,0,0.3,35.3,2.5
2,01/01/2021 01:37:35 AM,01/01/2021 01:38:48 AM,1,0.52,1,N,239,238,1,3.5,0.5,0.5,0.73,0,0.3,8.03,2.5
1,01/01/2021 01:34:03 AM,01/01/2021 01:42:37 AM,1,1.5,1,N,230,143,1,8,3,0.5,2.35,0,0.3,14.15,2.5
2,01/01/2021 01:31:31 AM,01/01/2021 01:42:01 AM,1,3.86,1,N,229,231,1,12.5,0.5,0.5,2.44,0,0.3,18.74,2.5
2,01/01/2021 12:45:42 AM,01/01/2021 12:55:54 AM,1,3.1,1,N,164,263,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5
2,01/01/2021 01:47:54 AM,01/01/2021 01:59:35 AM,1,3.25,1,N,170,236,1,12,0.5,0.5,2,0,0.3,17.8,2.5
1,01/01/2021 01:03:48 AM,01/01/2021 01:25:57 AM,1,0,1,N,97,35,1,19.2,0,0.5,0,0,0.3,20,0
2,01/01/2021 01:46:01 AM,01/01/2021 01:57:44 AM,1,2.83,1,N,145,260,1,11.5,0.5,0.5,2.56,0,0.3,15.36,0
2,01/01/2021 01:28:58 AM,01/01/2021 01:53:20 AM,6,6.66,1,N,74,48,1,23.5,0.5,0.5,5.46,0,0.3,32.76,2.5
2,01/01/2021 12:49:05 AM,01/01/2021 12:55:41 AM,1,1.96,1,N,249,246,1,8,0.5,0.5,2.95,0,0.3,14.75,2.5
2,01/01/2021 01:25:56 AM,01/01/2021 01:33:19 AM,2,2.3,1,N,236,229,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,01/01/2021 01:54:37 AM,01/01/2021 02:01:24 AM,2,2.63,1,N,263,170,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5
2,01/01/2021 12:40:07 AM,01/01/2021 01:04:04 AM,1,12.08,1,N,162,242,1,34,0.5,0.5,7.56,0,0.3,45.36,2.5
2,01/01/2021 01:12:51 AM,01/01/2021 01:26:02 AM,1,3.28,1,N,114,33,1,12.5,0.5,0.5,3.26,0,0.3,19.56,2.5
1,01/01/2021 02:02:53 AM,01/01/2021 02:27:58 AM,1,5.7,1,N,249,190,2,21,3,0.5,0,0,0.3,24.8,2.5
1,01/01/2021 01:00:39 AM,01/01/2021 01:11:21 AM,1,2.3,1,N,234,148,1,10,3,0.5,2,0,0.3,15.8,2.5
2,01/01/2021 12:15:25 AM,01/01/2021 12:27:54 AM,1,3.71,1,N,24,229,1,13,0.5,0.5,3,0,0.3,19.8,2.5
1,01/01/2021 12:25:47 AM,01/01/2021 12:41:34 AM,1,0,1,N,74,182,1,22.2,0,0.5,0,0,0.3,23,0
1,01/01/2021 01:43:29 AM,01/01/2021 01:51:13 AM,1,2.1,1,N,249,100,1,8.5,3,0.5,3.05,0,0.3,15.35,2.5
2,01/01/2021 01:29:17 AM,01/01/2021 01:39:07 AM,2,3.5,1,N,162,7,1,12,0.5,0.5,3.16,0,0.3,18.96,2.5
2,01/01/2021 12:15:52 AM,01/01/2021 12:38:07 AM,3,6.11,1,N,164,255,1,20.5,0.5,0.5,0,0,0.3,24.3,2.5
2,01/01/2021 12:07:36 AM,01/01/2021 12:11:27 AM,1,1.52,1,N,263,141,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,01/01/2021 01:14:32 AM,01/01/2021 01:18:54 AM,2,1.08,1,N,141,262,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5
2,01/01/2021 01:22:51 AM,01/01/2021 01:33:30 AM,1,2.96,1,N,74,239,1,11,0.5,0.5,1,0,0.3,15.8,2.5
2,01/01/2021 01:31:46 AM,01/01/2021 01:39:43 AM,1,1.37,1,N,74,75,1,7.5,0.5,0.5,0,0,0.3,8.8,0
1,01/01/2021 02:36:39 AM,01/01/2021 02:52:25 AM,1,4.6,1,N,113,255,1,16,3,0.5,3.95,0,0.3,23.75,2.5
2,01/01/2021 12:14:44 AM,01/01/2021 12:23:22 AM,1,1.85,1,N,48,90,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,01/01/2021 12:39:03 AM,01/01/2021 12:43:16 AM,2,0.77,1,N,231,231,1,5,0.5,0.5,2.64,0,0.3,11.44,2.5
2,01/01/2021 12:11:01 AM,01/01/2021 12:13:56 AM,1,1.13,1,N,263,75,4,-5,-0.5,-0.5,0,0,-0.3,-8.8,-2.5
2,01/01/2021 12:41:46 AM,01/01/2021 01:01:33 AM,4,5.08,1,N,113,36,2,19,0.5,0.5,0,0,0.3,22.8,2.5
1,01/01/2021 12:43:30 AM,01/01/2021 01:11:06 AM,1,14.7,1,N,132,165,1,42,0.5,0.5,8.65,0,0.3,51.95,0
2,01/01/2021 01:48:34 AM,01/01/2021 01:55:55 AM,3,1.47,1,N,4,232,2,7.5,0.5,0.5,0,0,0.3,11.3,2.5
2,01/01/2021 01:19:22 AM,01/01/2021 01:47:51 AM,6,8.08,1,N,100,17,1,27.5,0.5,0.5,4,0,0.3,35.3,2.5
2,01/01/2021 12:18:24 AM,01/01/2021 12:29:53 AM,1,2.53,1,N,48,234,2,10,0.5,0.5,0,0,0.3,13.8,2.5
1,01/01/2021 01:02:08 AM,01/01/2021 01:05:11 AM,1,0.9,1,N,141,263,1,5,3,0.5,1.75,0,0.3,10.55,2.5
2,01/01/2021 01:14:06 AM,01/01/2021 01:14:43 AM,1,0.1,1,N,74,74,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,01/01/2021 01:21:53 AM,01/01/2021 01:24:53 AM,2,0.51,1,N,141,237,2,4,0.5,0.5,0,0,0.3,7.8,2.5
1,01/01/2021 12:51:20 AM,01/01/2021 12:52:19 AM,1,0.2,1,N,238,151,2,3,0.5,0.5,0,0,0.3,4.3,0
1,01/01/2021 01:57:20 AM,01/01/2021 02:02:36 AM,2,0.9,1,N,41,75,1,6,0.5,0.5,1.45,0,0.3,8.75,0
1,01/01/2021 01:32:05 AM,01/01/2021 01:35:45 AM,1,1,1,N,237,236,1,5.5,3,0.5,2.75,0,0.3,12.05,2.5
1,01/01/2021 12:33:02 AM,01/01/2021 12:46:51 AM,1,6.2,1,N,247,254,2,19,0.5,0.5,0,0,0.3,20.3,0
2,01/01/2021 12:48:39 AM,01/01/2021 01:01:40 AM,1,3.67,1,N,170,239,1,13,0.5,0.5,3.36,0,0.3,20.16,2.5
1,01/01/2021 12:19:07 AM,01/01/2021 12:26:44 AM,2,1.9,1,N,74,168,2,8.5,0.5,0.5,0,0,0.3,9.8,0
2,01/01/2021 01:44:25 AM,01/01/2021 01:52:53 AM,6,1.57,1,N,238,142,1,8,0.5,0.5,1,0,0.3,12.8,2.5
2,01/01/2021 12:51:46 AM,01/01/2021 12:57:11 AM,1,1.46,1,N,48,237,1,6.5,0.5,0.5,2.5,0,0.3,12.8,2.5
2,01/01/2021 01:45:36 AM,01/01/2021 01:54:55 AM,1,2.12,1,N,142,233,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5
2,01/01/2021 01:05:47 AM,01/01/2021 01:10:08 AM,6,1.8,1,N,68,48,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,01/01/2021 12:27:18 AM,01/01/2021 12:48:05 AM,2,15.73,1,N,132,255,1,42.5,0.5,0.5,10.95,0,0.3,54.75,0
2,01/01/2021 12:25:27 AM,01/01/2021 12:29:40 AM,1,1.08,1,N,234,249,1,5.5,0.5,0.5,2.32,0,0.3,11.62,2.5
1,01/01/2021 12:06:23 AM,01/01/2021 12:19:09 AM,1,3.4,1,N,164,231,2,12.5,3,0.5,0,0,0.3,16.3,2.5
2,01/01/2021 12:59:28 AM,01/01/2021 01:09:04 AM,2,2.15,1,N,230,114,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
2,01/01/2021 02:22:08 AM,01/01/2021 02:40:35 AM,1,5.54,1,N,142,13,1,18.5,0.5,0.5,2.5,0,0.3,24.8,2.5
2,01/01/2021 01:13:58 AM,01/01/2021 01:19:56 AM,2,1.59,1,N,230,68,1,7,0.5,0.5,2.7,0,0.3,13.5,2.5
