County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Unnamed_Column_10
SARATOGA,759670,Store,JAC,LUCCAS DELICATESSEN LLC,LUCCAS DELICATESSEN,55,SARATOGA AVE,,
SARATOGA,759206,Store,JAC,GALWAY LOCAL LLC THE,GALWAY LOCAL,5306,SACANDAGA RD,,
BRONX,758299,Store,A,LOLYS PHARMACY INC,LOLYS PHARMACY,21,W 183RD STREET,,
STEUBEN,759226,Store,JAC,DHARMANANDAN LLC,UNCLE JACKS MARKET,7,EAST AVE EXT,,
ONONDAGA,758544,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30177,101,LAWRENCE RD E,,
NEW YORK,758149,Store,JAC,NEW AMSTERDAM DELI CORP,NEW AMSTERDAM DELI,1536,AMSTERDAM AVE,,
KINGS,759218,Store,JAC,TOP DELI CORP,TOP DELI,2115,SURF AVE,,
KINGS,759000,Store,JAC,BEDFORD FLAMING GRILL INC,BEDFORD FLAMING GRILL,2423,AVE U,,
QUEENS,759718,Store,JAC,ROXANA GOURMET INC,ROXANA GOURMET,66-78,FRESH POND RD,,
BRONX,759685,Store,JAC,EVERYTABLE PBC,EVERYTABLE,1400,"PELHAM PKWY S, BLDG#1, R-145",,
KINGS,759611,Store,JAC,OCEAN FINEST GRILL BASKET INC,OCEAN FINEST GRILL BASKET,1789,OCEAN AVE,,
SCHENECTADY,758657,Store,A,FAZZONE RICHARD L,SAHRS,2068,CURRY RD,,
NEW YORK,759416,Store,JAC,3RD AVE FOOD GROUP LLC,EDEN GOURMET MARKET,275,3RD AVE,,
WAYNE,759717,Store,JAC,WNY CANANDAIGUA INC,CORNER MARKET,3290,CANANDAIGUA RD,,
NEW YORK,759259,Store,JAC,CHELSEAS SIGNATURE DELI CORP,CHELSEAS SIGNATURE DELI,134,8TH AVENUE,,
BRONX,760077,Store,A,NEW HOPE GROCERY INC,NEW HOPE GROCERY,944,ALDUS ST,,
BRONX,758302,Store,JAC,204 DELI GROCERY CORP,204 DELI GROCERY,319,E 204TH STREET,,
ALLEGANY,758294,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #24752,4,MAIL ST,,
SULLIVAN,759194,Store,A,SPRUCE HOME GOODS CORP,SPRUCE HOME GOODS,47B,MAIN STREET,,
KINGS,760101,Store,A,CHARLY MINI MARKET CORPORATION,CHARLY MINI MARKET,759,PARK AVE,,
QUEENS,759265,Store,JAC,ANGIE CONVENIENCE STORE INC,ANGIE CONVENIENCE STORE,73-10,BELL BLVD,,
NEW YORK,758876,Store,JAC,SOLIMANS GROCERY CORP,SOLIMAN'S GROCERY,129,E 45TH ST #6,,
NEW YORK,759169,Store,JAC,PAMELA GROCERY STORE CORP,PAMELA GROCERY STORE,1626,PARK AVE,,
DUTCHESS,758345,Store,JAC,1663 FOOD MART INC,1663 FOOD MART,1663,RT 9,,
KINGS,758677,Store,JAC,DELI 200 ALBANY CORP,DELI 200 ALBANY,200,ALBANY AVE,,
MONROE,759965,Store,JAC,EHSAN ENTERPRISES INC,SCOTTSVILLE ONE STOP MART,69,ROCHESTER ST,,
RICHMOND,758581,Store,A,LUX CONVENIENCE CORP,LUX CONVENIENCE,197,BROAD ST.,,
OTSEGO,758673,Store,JAC,UNITED FOOD MARKET INC,UNITED FOOD MARKET,229,MAIN ST,,
QUEENS,759066,Store,A,PLATA FOOD CORP,PLATA GROCERY,31-05,24TH AVE,,
NEW YORK,758697,Store,JAC,ELITE 128 LLC,7-ELEVEN STORE #42327A,128,W 34TH ST.,,
NASSAU,758888,Store,JAC,FARMBOY MEAT & PRODUCE INC,FOOD WORLD,500,WEST MERRICK RD,,
NEW YORK,758877,Store,JAC,2 CAMPUS DELI CORP,2 CAMPUS DELI,469,W 157TH STREET,,
ONEIDA,758872,Store,JAC,CLIFFORDS SUNRISE TO SUNSET MARKETS INC,CLIFFS LOCAL MARKET(11/28/23),3931,ONEIDA ST,,
NASSAU,758177,Store,JAC,RALLINI LLC,RALLINI BAKERY & CAFFE,4338,AUSTIN BOULEVARD,,
QUEENS,760120,Store,A,LINDO BEBE 88 INC,LINDO BEBE 88,40-13,104TH STREET,,
MONROE,758516,Store,JAC,SIM MARKET INC,BUTCHER BOY MEAT MARKET,412,CLIFFORD AVE,,
QUEENS,758734,Store,JAC,LEGACY MINI MART CORP,LEGACY MINI MART,96-19,LINDEN BLVD,,
KINGS,760075,Store,A,YOUJIAXING GROCERY INC,YOUJIAXING GROCERY,5701,FORT HAMILTON PKWY STORE 1,,
QUEENS,759482,Store,JAC,K CHOICE FARM INC,K CHOICE FARM,45-20,46TH STREET,,
QUEENS,758698,Store,JAC,AFRICA PRODUCT DEVELOPMENT CENTER LLC,AFRICA PRODUCT DEVELOPMENT CENTER,23-23,BORDEN AVE,,
KINGS,759471,Store,A,FAMILY PHARMACY GROUP INC,AVE X PHARMACY,2108,AVE X,,
DELAWARE,759177,Store,JAC,BLOOMONRIVERSTREET LLC,FIRST BLOOM CORNER STORE,52030,NY 10,,
MONROE,758929,Store,JAC,JENKINS MEAT MARKET LLC,JENKINS MEAT MARKET,2344,LYELL AVE,,
SARATOGA,758683,Store,JAC,QUICK SHOP DELI INC,QUICK SHOP DELI,66,3RD ST,,
NEW YORK,759399,Store,JAC,ALIMENTUS GUATEMIX 502 LLC,EL PETENCITO DELI GROCERIE,339,E 108TH ST,,
RICHMOND,759503,Store,JAC,ISLAND MINI MARKET DELI INC,ISLAND MINI MARKET DELI,2031,FOREST AVE #4,,
ERIE,759504,Store,A,FILLMORE UTICA MART INC,FILLMORE UTICA MART,1372,FILLMORE AVE,,
QUEENS,759621,Store,JAC,OB DELI INC,OB DELI,116-69,SUTPHIN BLVD,,
RICHMOND,758907,Store,JAC,CB 180 CORP,CRACKER BARREL,180,MAIN ST.,,
RICHMOND,758532,Store,JAC,SIN FRONTERA DELI AND GROCERY STORE LLC,SIN FRONTERA DELI AND GROCERY,340,HEBERTON AVENUE,,
QUEENS,759179,Store,JAC,1-800-FLOWERS.COM INC,1-800-FLOWERS,36-01,47TH AVE,,
MONROE,760093,Store,A,ROC BBQ SUPPLY LLC,ROC BBQ SUPPLY,1225,JEFFERSON RD A06A,,
SCHENECTADY,758740,Store,JAC,MAHABIR RONALD,ONE STOP WEST INDIAN GROCERY & FISH MARK,772,STATE STREET,,
NASSAU,758534,Store,JAC,PRODUCTOS CENTROAMERICANOS LOS ROSALES C,PRODUCTOS CENTROAMERICANOS LOS ROSALES,686,JERUSALEM AVE,,
SCHENECTADY,758313,Store,JAC,789 ALBANY DELI AND GROCERY INC,789 ALBANY DELI AND GROCERY,789,ALBANY ST.,,
QUEENS,758158,Store,JAC,HANDSOME SEAFOOD CORP,HANDSOME SEAFOOD,153-55,CROSS ISLAND PKWY,,
KINGS,758349,Store,JAC,SAVOURY INC,SAVOURY,394,BROADWAY,,
KINGS,760117,Store,A,MALCOLMX GROUP INC,MALCOLMX GROUP/RETAIL FOOD STORE,354,MALCOLM X BLVD,,
RICHMOND,758671,Store,A,TODT HILL MINI MART INC,TODT HILL MINI MART,1060,RICHMOND RD,,
KINGS,759657,Store,JAC,RUBYS BAGELS CORP,RUBYS BAGELS,3103,QUENTIN RD,,
QUEENS,759652,Store,A,LUCKY FARMERS MARKET INC,LUCKY FARMERS MARKET,84-31,JAMAICA AVENUE,,
KINGS,759506,Store,JAC,BAY RIDGE FISHBAR CORP,BAY RIDGE FISHBAR,7608,3RD AVE,,
NEW YORK,759464,Store,JAC,DALILAS FOOD MARKET INC,DALILA'S FOOD MARKET,126,E 103RD ST.,,
KINGS,759187,Store,JAC,BELMONT MINI MARKET NY INC,BELMONT MINI MARKET NY,51,BELMONT AVE,,
BRONX,758884,Store,JAC,SEANS QUALITY DELI LLC,SEAN'S QUALITY DELI,4273,KATONAH AVENUE,,
KINGS,758350,Store,JAC,GGJ&G FOOD CORP,BROOKLYN KRISP FOOD MARKET,800,ROCKAWAY AVENUE,,
BROOME,758889,Store,A,YUMMY MARKET CORP,YUMMY MARKET,188,MAIN ST 1 FL,,
DUTCHESS,758705,Store,JAC,REFILLERY STOREHOUSE LLC,REFILLERY STOREHOUSE,23,EASTDALE S AVENUE,,
KINGS,759183,Store,JAC,LA NATURAL GOURMET CORP,LA NATURAL GOURMET,177,PATCHEN AVENUE,,
KINGS,758911,Store,JAC,KING DELI & GRILL 3 CORP,KING DELI & GRILL 3,1932,KINGS HWY,,
KINGS,758167,Store,A,EL ARCOIRIS DELI GROCERY 2 CORP,EL ARCOIRIS DELI GROCERY 2,5805,5TH AVE,,
KINGS,759619,Store,JAC,MR GREEN JUICE & GRILL INC,MR GREEN JUICE & GRILL,1601,MCDONALD AVE,,
SUFFOLK,759061,Store,JABC,103 FRONT STREET GREENPORT LLC,ALDOS COFFEE CO,103-105,FRONT ST,,
NEW YORK,759146,Store,A,160 GROCERY INC,160 GROCERY,2011C,AMSTERDAM AVE,,
KINGS,759425,Store,JAC,777 NOSTRAND DELI CORP,777 NOSTRAND DELI,777,NOSTRAND AVE,,
KINGS,759006,Store,JAC,FLAMMING GRILL CORP,FLAMMING GRILL,3038,NEPTUNE AVE,,
BROOME,758578,Store,A,DOWNTOWN EXPRESS SMOKE SHOP INC,DOWNTOWN EXPRESS SMOKE SHOP,165,COURT ST,,
NEW YORK,758543,Store,A,COMPASS GROUP USA INC,15 BEEKMAN MARKET,15,BEEKMAN MARKET,,
ROCKLAND,759022,Store,JAC,7 ELEVEN INC,7-ELEVEN STORE #42137H,212,GURNEE AVE,,
RICHMOND,758881,Store,JAC,PRIORITY DELI & GROCERY CORP,PRIORITY DELI & GROCERY,488,JERSEY STREET,,
KINGS,758178,Store,JAC,EVERYTHING MOVING CONVENIENCE STORE LLC,EVERYTHING MOVING CONVENIENCE,258,MARCUS GARVEY BLVD,,
KINGS,758175,Store,A,EL QUETZALITO 7 CORP,EL QUETZALITO 7,4604,7TH AVENUE,,
FRANKLIN,758700,Store,JAC,NORTHERN FREEZE LLC,NORHTERN FREEZE CANDY,165,165 E MAIN STE RTE 11,,
OTSEGO,758902,Store,JAC,GATEHOUSE COFFEE LLC,GATEHOUSE COFFEE SHOP,129,MAIN ST,,
GENESEE,758545,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #25187,6329,ROUTE 262,,
NIAGARA,758883,Store,JAC,KULAR ENTERPRISES INC,KULAR ENTERPRISES,837,NASH ROAD,,
