Town,Address,Tower Type,Height,Carrier #1,Carrier #2,Carrier #3,Carrier #4,Carrier #5,Unnamed_Column_10
New Haven,*** State Street,rooftop,,AT&T @ 58',,,,,
Bethel,*** Greenwood Avenue,steeple,,T-Mobile @ 78',,,,,
Stratford,*** East Main Street Rear,monopole,135,AT&T @ 132',Verizon @ 121',DISH @ 111',T-Mobile @ 91',,
Somers,*** South Road,silo,,Verizon @ 84',,,,,
West Hartford,*** South Quaker Lane,monopole,120,Verizon @ 96',Cingular/AT&T @ 107',DISH @ 90',,,
Stamford,*** Harvard Avenue,rooftop,,"Sprint @ 84, 93', 93''",MetroPCS @ 91',AT&T @ 90'/105'/90',,,
Hartford,*** Garden Street,rooftop,,T-Mobile @ 45',,,,,
Monroe,*** Guinea Rd (*** Guinea Road),self-supporting lattice,240,Cingular @ 240',Cingular int. @ 200',pagenet @ 180',Nextel @ 220',Verizon @ 212',cl&p @ 185'
Thompson,** Lowell Davis Rd,guyed lattice,250,tele-media @ 245',Cingular @ 205',conn-2 @ 235',Verizon @ 180/190/237/227',,
Stamford,*** High Ridge Road,utility pole,35,Verizon @ 35.8',,,,,
South Windsor,** Beldon Street,utility pole,26,Verizon @ 26',,,,,
Stonington,** Clara Drive,rooftop,,T-Mobile,sky tel,,,,
East Hartford,*** Riverside Drive,rooftop,,Verizon @ 87',,,,,
Stamford,** Seaview Avenue,rooftop,,T-Mobile @ 105',Sprint @ 85',,,,
Simsbury,** Massaco Street,self-supporting lattice,150,,,,,,
Ledyard,** Norwich Westerly Rd.,rooftop,,Cingular @ 80',Sprint @ 179',Verizon @ 162',T-Mobile @ 82',metrocps @ 142.5',
Newtown,* Ferris Road,monopole,120,Sprint @ 108',Verizon @ 98',Cingular/AT&T @ 88',,,
Eastford,** Old Route **,guyed lattice,193,Nextel @ 166',Sprint @ 180',Verizon @ 194',,,
Cromwell,** Glenwood Terrace,utility pole,30,Verizon @ 29.5',,,,,
Cromwell,"***, ***, ***, and ***R Main street",monopole,120,Verizon @ 120',,,,,
Stonington,** Mechanic Street,o-flagpole,150,Cingular/AT&T @ 129/135',T-Mobile @ 100',,,,
Guilford,** Tanner Marsh Rd,monopole,150,Verizon @ 150',Sprint @ 140',,,,
Meriden,*** East Main St,gas station sign,62,Verizon @ 48',,,,,
East Hartford,Riverside Drive,utlity pole,24',Verizon @ 24',,,,,
Danbury,** Germantown Road,rooftop,,T-Mobile @ 51',,,,,
Meriden,* Undercliff Road,rooftop,,Sprint @ 85',,,,,
Andover,*** Bunker Hill Rd,monopole,180,Sprint @ 168',T-Mobile @ 148',Verizon @ 158',Cingular @ 137',,
Watertown,*** Sunnyside Ave.,power mount,110,Sprint @ 110',,,,,
Milford,*** Seaside Avenue,rooftop,,,,,,,
Stratford,York Street,utility pole,25,Verizon @ 25',,,,,
Goshen,*** North Street (Route **),monopole,150,Verizon @ 150',AT&T @ 137',T-Mobile @ 138',,,
Madison,** Orchard Park Road,monopole,100,T-Mobile @ 100',AT&T @ 90',Verizon @ 76',,,
Stafford,** South Road,guyed lattice,180,Cingular/AT&T @ 150',,,,,
Bloomfield,** Burr Road,monopole,140,T-Mobile @ 127',Verizon @ 117',MetroPCS @ 137',clearwire @ 97',AT&T @ 107',
New Canaan,*** Elm Street,in-building IP access,,T-Mobile,,,,,
Cheshire,**** South Main Street,rooftop,35',,,,,,
Stamford,** Hamilton Avenue,utility pole,43,AT&T @ 42',,,,,
New London,** Hawthorne Drive North,power mount,90,T-Mobile @82' & 90',,,,,
West Haven,"* Burwell Hill Rd. (Fairfax St., east of)",self-supporting lattice,160,Cingular @ 152',so.ct. gas @ 80',Nextel @ 140',,,
New London,*** Montauk Avenue,rooftop,,T-Mobile @ 81',,,,,
Cromwell,Court Street,tower,48',,,,,,
Stratford,Warner Hill Road,utility pole,37,Verizon @ 37',,,,,
Cheshire,*** Maple Avenue,tower,121',,,,,,
Hartford,* Clark Street,steeple,,T-Mobile @ 64',,,,,
Trumbull,**** Main Street,rooftop,,T-Mobile @ 77',,,,,
Waterbury,*** Bishop Street,small cell,62,Verizon @ 69.8',T-Mobile @ 96',Sprint/Nextel @ 73' & 69',,,
Clinton,** Cow Hill Road,self-supporting lattice,212,Verizon @ 208'/130'/60',Sprint @ 196',T-Mobile @ 135',Nextel @ 175',Cingular @ 190',Dish @ 118'
Glastonbury,**** Main St.,self-supporting lattice,169,Cingular @ 165',Nextel @ 128',,,,
Killingly,*** Main Street,rooftop small cell,57,Verizon @ 64',,,,,
East Granby,** Floydville Road,monopole,120,Cingular/AT&T @ 89',T-Mobile @ 107',Verizon @ 118',MetroPCS @ 97',Dish @ 97',
Norwalk,** Mott Avenue,rooftop,,Sprint @ 60',,,,,
New Haven,** Maltby Street,utility pole,36,AT&T @ 36',,,,,
Sterling,*** Ekonk Hill Road,guyed lattice,200,Sprint @ 170',Dish @ 150',,,,
