Docket or petition number,Town,Address,User,Tower type,Antenna height,Tower height,Antennas,5G services,Backup power type
Burlington,** Nepaug Road,Verizon,monopole,99,120,,,,
,Barkhamsted,** New Hartford Road,T-Mobile,monopole,102,144,,,
Bridgeport,**** Trumbull Avenue,New Cingular,self-support lattice,165,240,,,,
Bridgeport,*** Pine Street,Nextel,self-support lattice,85,250,,,,
Bridgeport,**** Trumbull Avenue,Sprint/Nextel,self-support lattice,"187, 180",240,,,,
,Bloomfield,**** Blue Hills Avenue,Sprint,self-support lattice,87,125,,,
Branford,*** West Main Street,Clearwire,monopole,124,130,,,,
Canterbury,** Westminster Road,Verizon,monopole,170,180,,,,
Danbury,** Padanaram Road,Verizon,monopole,118,145,,yes,diesel fueled,50-kilowatt
East Hampton,* Public Works Drive,AT&T,monopole,167,180,,,,
Canton,*** East Hill Road,Verizon,monopole,118,150,,,diesel generator,30-kilowatt
Canton,*** Cherry Brook Road,Pocket (now MetroPCS),monopole,120,150,,,,
,Ansonia,* Deerfield Lane,T-Mobile,monopole,167,169,,,
Bolton,*** Vernon Road,T-Mobile,guyed-lattice,180,280,,,,
Danbury,*** Boxwood Lane,Sprint,self-support lattice,89,100,,,,
Canton,*** East Hill Road,T-Mobile,monopole,141,150,,,,
Darien,*** Ledge Road,Verizon,monopole,100,120,,,,
Darien,* Mechanic Street,Omni,monopole,103,95,,,,
Branford,***-*** North Main Street,Sprint,monopole,147,157,,,,
,Bethany,*** Amity Road,DPS,self-support lattice,95-180,180,,,
Brookfield,** Carmen Hill Road,AT&T,guyed-lattice,165,455,,,,
Darien,*** Ledge Road,Sprint,monopole,120,120,,,,
,Bethany,* Meyers Road,Pocket (now MetroPCS),self-support lattice,100,338,,,
,Ashford,** Janoski Road,SCLP,self-support lattice,140,190,,,
,Beacon Falls,** Rice Lane,DISH,monopole,152,160,,yes,
Coventry,*** Riley Mountain Road,Verizon,monopole,126,150,,,,
East Hartford,*** Sunset Ridge Drive,Sprint,self-support lattice,100,140,,,,
Durham,** Town House Road,Verizon,utility pole,30;34;37,39,,yes,battery backup,8hrs
East Hartford,*** Main Street,T-Mobile,rooftop-flagpole,80,83,,,,
,Bethany,* Meyers Road,AT&T,self-support lattice,165,338,,,
Clinton,** Meadow Road,Cingular,self-support lattice,152,195,,,,
,Berlin,**** Berlin Turnpike,Verizon,monopole,118,180,,,
,Andover,*** Bunker Hill Road,American Tower,monopole,,180,,,diesel generator
Burlington,** Nepaug Road,T-Mobile,monopole,90,120,,,,
Danbury,Crow's Nest Lane,CL&P,monopole,87,87,,,,
East Hartford,*-* Oakland Avenue,MetroPCS,smokestack,110,125,,,,
Bloomfield,** Brewer Drive,Clearwire,monopole,120,120,,,,
Cromwell,*** Main Street,Sprint,monopole,127,125,,,,
Canterbury,Colburn Road,Crown Media,guyed-lattice,,110,,,,
Cheshire,*** Higgins Road,AT&T,self-support lattice (type J),255,269,,,,
Chaplin,*** Palmer Road,Verizon,monopole,149,150,,,,
Bridgeport,*** Pine Street,Nextel,self-support lattice,96,250,,,,
Colchester,** Munn Road,AT&T,self-support lattice,200,320,,,,
Canton,*** Cherry Brook Road,Verizon,monopole,150,150,,,,
Deep River,** Pent Road,T-Mobile,monopole,177,180,,,,
Brooklyn,** Tiffany Street,AT&T,water tank,130,130,,yes,,
,Bethany,* Meyers Road,Sigfox,self-support lattice,147,338,,,
Bridgeport,**** Trumbull Avenue,AT&T Wireless,self-support lattice,,240,,,,
Branford,*** Brushy Plain Road,AT&T,monopole,153,154,,,,
East Hampton,* Public Works Drive,AT&T,monopole,170,180,,,,
,Bethel,* Stony Hill Road,AT&T,utility pole,top,140,,,
Brooklyn,*** Grant Hill Road,DISH,monopole,70,150,,yes,,
Bridgeport,*** Kaechele Place,Clearwire,monopole,var.,156,,,,
Brookfield,* Huckleberry Hill Road,Cingular,monopole,,60,,,,
Clinton,** Cow Hill Road,AT&T,self-support lattice,190,212,,,,
Colchester,** Westchester Road,AT&T,monopole,159,180,,,,
Branford,** Acorn Road,SNET/Cingular,monopole,105,150,,,,
Colchester,Chestnut Hill Road,SNET/SCLP,monopole,,,,,,
Brookfield,* Huckleberry Hill Road,AT&T,monopole,"51, 57",60,,,,
Colebrook,*** Pinney Street,Sprint,monopole,147,150,,,,
Bridgeport,*** Pine Street,Clearwire,self-support lattice,118,250,,,,
Brookfield,*** Park Ridge Road,T-Mobile,utility pole,122,115,,,,
Cheshire,*** Higgins Road,AT&T,self-support lattice,255,250,,,,
East Granby,Newgate Road,Sprint,monopole,81,88,,,,
Brookfield,*** Pocono Road,Verizon,monopole,148,150,,,propane generator,10 kW
East Hartford,**** Forbes Street,BAM,monopole,110,110,,,,
Coventry,*** Riley Mountain Road,T-Mobile,monopole,136,152,,,,
Bloomfield,*** Blue Hills Avenue,Clearwire,monopole,95,110,,,,
Clinton,** East Main Street,T-Mobile,self-support lattice,60,67,,,,
Burlington,** Nepaug Road,MetroPCS/T-Mobile,monopole,90,120,,,,
Bristol,** Valley Street,Verizon,self-support lattice,110,110,,,,
Canton,*** East Hill Road,SNET/SCLP,monopole,162,150,,,,
,Berlin,*** Beckley Road,T-Mobile,monopole,163,150,,,
Branford,** Sylvia Street,T-Mobile,monopole,122,125,,,,
Bozrah,Polly Lane,Sprint,guyed-lattice,150,185,,,,
,Berlin,*** Beckley Road,Cingular,monopole,152,150,,,
Danbury,** Padanaram Road,Sprint,monopole,70,80,,,,
Canton,*** East Hill Road,SNET/Cingular,monopole,154,150,,,,
Bridgeport,*** Pine Street,Verizon,self-support lattice,110,250,,,,
,Avon,*** Deercliff Road,Marcus,guyed-lattice,"280, 137, 134, 131",560,,,
Canton,*** Cherry Brook Road,T-Mobile,monopole,129,150,,yes,,
East Hartford,**** Forbes Street,T-Mobile,monopole,87,130,,,,
Bristol,*** Farmington Avenue,MetroPCS,monopole,98,120,,,,
Burlington,** Nepaug Road,AT&T,monopole,119,120,,,,
,Barkhamsted,** New Hartford Road,,monopole,,144,,,
Clinton,** Cow Hill Road,AT&T,self-support lattice,190,212,,yes,,
,Beacon Falls,*** Rimmon Hill Road,SNET/Cingular,monopole,162,170,,,
Danbury,** Padanaram Road,T-Mobile,monopole,80,80,,yes,,
East Haddam,*** Parker Road,T-Mobile,guyed-lattice,175,300,,yes,diesel generator,48-kilowatt
Colchester,Chestnut Hill Road,AT&T,monopole,185,180,,,,
Cornwall,Mohawk Mountain Road,Omni,self-support lattice,140,180,,,,
East Haven,**** North High Street,AT&T,guyed-lattice,75',"80' 3""",,,nat gas generator/ battery backup,30-kilowatt
Bloomfield,* Hoskins Road,AT&T,self-support lattice,67,180,,,,
Colchester,Chestnut Hill Road,Verizon,monopole,60,180,,,,
Clinton,** Meadow Road,Verizon,self-support lattice,165,195,,,,
Colebrook,*** Pinney Street,Sprint,monopole,148,148,,,,
East Hartford,*** Roberts Street Rear,Clearwire,monopole,130,130,,,,
Bridgeport,*** Pine Street,Clearwire,self-support lattice,85,250,,,,
East Granby,** South Main Street,AT&T,monopole,77,98,,,,
East Haddam,*** Honey Hill Road,AT&T,monopole,120,150,,,,
Deep River,*** Winthrop Road,Sprint PCS,monopole,167,180,,,,
East Hampton,*** Young Street,Crown Castle,monopole,,,,,,
,Ansonia,** Birchwood Drive,Pocket (now MetroPCS),guyed-lattice,56,60,,,
Bridgeport,*** Kaechele Place,SNET/SCLP,monopole,152,150,,,,
Derby,** Pleasant View Road,Pocket (now MetroPCS),monopole,97,120,,,,
,Ashford,** Knowlton Hill Road,Verizon,monopole,129,150,,,
,Ansonia,*** Wakelee Avenue,AT&T,self-support lattice,167,196,,,
Bristol,** Main Street,SNET,roof top,52,44,,,,
Colchester,** Munn Road,BAM,self-support lattice,n/a,320,,,,
Bloomfield,** Brewer Drive,Cingular,monopole,100,120,,,,
,Ashford,** Janoski Road,T-Mobile,self-support lattice,152,190,,,
Clinton,** Meadow Road,AT&T,self-support lattice,151,195,,,,
Deep River,*** Winthrop Road,AT&T,monopole,150,180,,,,
Danbury,Crow's Nest Lane,CL&P,monopole,87,87,,,propane generator,20kW & 500 g propane tank
,Beacon Falls,** Rice Lane,AT&T,monopole,133,160,,,
Chester,** Wig Hill Road,SCLP,monopole,112,150,,,,
Coventry,*** Main Street,T-Mobile,monopole,80,102,,yes,diesel generator,25-kilowatt
,Bethany,* Meyers Road,US Coast Guard,self-support lattice,220,338,,,propane generator
Canterbury,Colburn Road,Tele-Media,guyed-lattice,105,110,,,,
,Barkhamsted,** New Hartford Road,Verizon,monopole,133,144,,,
Clinton,** Meadow Road,Sprint,self-support lattice,182,195,,,,
,Bethany,* Meyers Road,Sprint,self-support lattice,240,338,,,
,Berlin,**** Berlin Turnpike,Sprint,monopole,150,180,,,
Colchester,** Westchester Road,T-Mobile,monopole,175,180,,,BBU,
Colchester,Chestnut Hill Road,AT&T,monopole,,180,,,diesel generator,
Danbury,*** Boxwood Lane,AT&T,self-support lattice,98,100,,,50 kW diesel generator,
Colchester,** Westchester Road,BAM,monopole,168,180,,,diesel generator,
Bridgeport,**** Connecticut Avenue,DISH,monopole,78,126,,yes,,
Bridgeport,*** Kaechele Place,MetroPCS New York,monopole,120,156,,,,
Columbia,*** Route ** South,AT&T,monopole,150,148,,,,
,Andover,*** Jonathan Trumbull Highway,Cingular,monopole,150,150,,,
Branford,***-*** North Main Street,Verizon,monopole,110,110,,,,
Danbury,Moses Mountain,WRNN,self-support lattice,50,65,,,,
,Ashford,** Janoski Road,AT&T,self-support lattice,160,190,,,
East Hartford,*** Main Street,AT&T,rooftop,117,114,,,diesel generator,50kw-capacity unknown
East Hartford,*** Roberts Street Rear,T-Mobile,monopole,100,130,,,,
Bloomfield,** Brewer Drive,AT&T,monopole,100,120,,,,
Canterbury,** Westminster Road,Sprint,monopole,,180,,,,
,Berlin,*** Beckley Road,Sprint,monopole,127,150,,,
Bloomfield,* Hoskins Road,Verizon,self-support lattice,148,180,,,,
,Avon,** Montevideo Road,Verizon,self-support lattice,,150,,,propane generator
Columbia,*** Route ** South,Sprint,monopole,108,120,,,,
Branford,*** Brushy Plain Road,Clearwire,monopole,130,154,,,,
Bolton,*** Vernon Road,Verizon,guyed-lattice,119,280,,,,
,Berlin,**** Berlin Turnpike,AT&T,monopole,168,180,,,
East Hartford,*** Main Street,Verizon,rooftop,117,112,,,,
Cornwall,Mohawk Mountain Road,DPS,self-support lattice,180,180,,,,
Danbury,** Newtown Road,SCLP,monopole,100,96,,,,
East Hartford,*** Roberts Street Rear,AT&T,monopole,90,130,,,,
East Hartford,*** Roberts Street Rear,Verizon,monopole,120,130,,,,
Cheshire,*** Higgins Road,AT&T,self-support lattice (type J),170,269,,,,
Bridgeport,*** Kaechele Place,T-Mobile,monopole,,,,,,
Bridgeport,**** Trumbull Avenue,AT&T Wireless,self-support lattice,165,240,,,,
Cheshire,**** Highland Avenue,Verizon,silo,70,78,,,,
Brooklyn,Valentine Road,Quinn. Valley Emerg. Comm,self-support lattice,120,180,,,,
Colchester,Chestnut Hill Road,T-Mobile,monopole,167,180,,yes,,
Cromwell,*** Main Street,AT&T,monopole,117,125,,,,
Coventry,*** Riley Mountain Road,Pocket (now MetroPCS),monopole,107,150,,,,
Brooklyn,*** Grant Hill Road,T-Mobile,monopole,137,150,,,,
Danbury,** Newtown Road,Verizon,monopole,90,96,,,,
Bolton,** South Street,Cingular,monopole,120,120,,,,
Columbia,** Thompson Hill Road,T-Mobile,monopole,161,180,,,,
,Ashford,** Janoski Road,Sprint,self-support lattice,n/a,190,,,
Bloomfield,*** Blue Hills Avenue,Verizon,monopole,102,110,,,,
Cromwell,*** West Street,,monopole,,77,,,,
Cheshire,*** Higgins Road,Cingular/AT&T,self-support lattice (type J),170,269,,,,
Colchester,*** Route **,Nextel,monopole,180,180,,,,
Cromwell,*** Main Street,Verizon,monopole,105,125,,,,
,Avon,*** Deercliff Road,T-Mobile,guyed-lattice,250,560,,,
Cornwall,** Bell Road Extension,Verizon,monopole,110,110,,,diesel generator,
,Ashford,** Seles Road,SCLP,guyed-lattice,160,190,,,
Bridgeport,**** Noble Avenue,DISH,monopole,86,120,,yes,,
Colebrook,*** Pinney Street,Verizon,monopole,130,150,,,,
Brooklyn,Valentine Road,DPS,self-support lattice,180,180,,,,
,Bloomfield,**** Blue Hills Avenue,AT&T,self-support lattice,98,125,,,
Branford,***-*** North Main Street,Verizon,monopole,97,110,,,,
Bristol,** Valley Street,Verizon,self-support lattice,"100, 110",110,,,,
Bridgeport,**** Trumbull Avenue,AT&T,self-support lattice,,240,,,diesel generator,
Brookfield,*** Pocono Road,DISH,monopole,130,150,,yes,,
,Bethel,** Francis J. Clarke Circle,Verizon,monopole,136,155,,,
Brookfield,*** Pocono Road,Verizon,monopole,148,150,,,,
Colchester,** Munn Road,Verizon,self-support lattice,220,320,,,,
,Beacon Falls,** Rice Lane,Verizon,monopole,160,160,,,
Darien,*** Ledge Road,T-Mobile,monopole,110,117,,,,
East Haven,*** Commerce Street,AT&T,monopole,57,57,,,,
Durham,***R Old Blue Hills Road,AT&T,monopole,,,,,diesel generator,20-kilowatt
,Barkhamsted,** New Hartford Road,Cingular,monopole,114,144,,,
Cornwall,Mohawk Mountain Road,T-Mobile,self-support lattice,140,180,,,,
Cornwall,Mohawk Mountain Road,Ct Pubilc Broadcast,self-support lattice,35,180,,,,
East Hartford,*** Main Street,Verizon,rooftop,103,112,,,,
Deep River,*** Winthrop Road,T-Mobile,monopole,160,180,,,,
Deep River,*** Winthrop Road,Sprint,monopole,166,180,,,,
Danbury,Moses Mountain,SNET/Destineer,self-support lattice,45,65,,,,
,Andover,*** Bunker Hill Road,AT&T,monopole,,180,,,diesel generator
East Hartford,*-* Oakland Avenue,Clearwire,smokestack,100,125,,,,
Bridgeport,*** Kaechele Place,AT&T Wireless,monopole,140,,,,,
East Hartford,*** Main Street,AT&T,rooftop,109,114,,,,
Colchester,** Munn Road,DPS/DEP,self-support lattice,80-320,320,,,,
Canton,** Canton Springs Road,Nextel,monopole,110,140,,,,
East Hartford,*** Sunset Ridge Drive,Sprint,,,,,,,
Cheshire,*** Higgins Road,Cingular,self-support lattice (type J),257;242,269,,,,
Bridgeport,*** Pine Street,MetroPCS New York,self-support lattice,126,250,,,,
Chaplin,*** Palmer Road,AT&T,monopole,128,150,,,,
Columbia,*** Route ** South,Sprint,monopole,108,148,,,,
,Bloomfield,**** Blue Hills Avenue,Verizon,self-support lattice,110,130,,,
East Haddam,** Maple Avenue,Cingular,silo,47,49,,,,
,Ansonia,*** Wakelee Avenue,Sprint,self-support lattice,184,196,,,
Branford,*** West Main Street,T-Mobile,monopole,130,130,,,,
Bridgeport,*** Kaechele Place,SNET Cellular,monopole,150,150,,,,
Brookfield,*** Federal Road,Sprint,utility pole,110,91,,,,
Cromwell,*** West Street,MetroPCS,monopole,75,77,,,,
Bloomfield,** Montevideo Road,"DPS/NECS/RAFS,Transit/Amat.Radio",self-support lattice,,60,,,,
,Bethel,** Spring Hill Lane,Sprint,monopole,110,125,,,
Branford,*** West Main Street,Cingular/AT&T,monopole,100,130,,,,
East Hartford,*** Roberts Street Rear,American Tower Corporation,monopole,,130,,,diesel generator,
,Barkhamsted,** New Hartford Road,Verizon,monopole,131,144,,,
Petition No. 1075,Berlin,**** Chamberlain Highway,,monopole,,125,,,
Canton,** Canton Springs Road,BAM,monopole,120,140,,,,
Danbury,** Newtown Road,Verizon,rooftop,31,29,,,,
East Hampton,* Public Works Drive,Sprint,monopole,,180,,,,
East Hartford,*** Main Street,MetroPCS,rooftop-flagpole,72,83,,,,
Bolton,*** Vernon Road,Cingular,guyed-lattice,165,280,,,,
East Granby,South Grand Street,Continental Cablevision,self-support lattice,20,20,,,,
,Bloomfield,**** Blue Hills Avenue,MetroPCS,self-support lattice,,130,,,
East Hartford,*** Roberts Street Rear,AT&T,monopole,90,130,,yes,,
Durham,***R Old Blue Hills Road,AT&T,monopole,116,120,,,,
,Ashford,** Janoski Road,Omni,self-support lattice,152,190,,,
East Hartford,*** Main Street,AT&T,rooftop-flagpole,63,83,,,,
Canterbury,** Westminster Road,AT&T,monopole,161,180,,,,
Deep River,** Pent Road,DISH,monopole,148,180,,yes,,
Chester,** Wig Hill Road,BAM,monopole,120,150,,,,
Cromwell,"***, ***, ***, and ***R Main street",Verizon,monopole,120,120,,,battery backup & diesel generator,30kW & 46 hours/ 4hr battery
Canton,*** Cherry Brook Road,Verizon,monopole,150,150,,,propane generator,
Colebrook,*** Pinney Street,Verizon,monopole,"127, 117",150,,,,
East Hartford,**** Forbes Street,XM Satellite,monopole,126,110,,,,
Cheshire,*** Higgins Road,T-Mobile,self-support lattice,212,250,,yes,,
Canton,*** East Hill Road,SNET/SCLP,monopole,,,,,,
East Hartford,*** Main Street,Clearwire,rooftop-flagpole,72,83,,,,
,Bethel,* Stony Hill Road,Cingular,utility pole,145,140,,,
Bozrah,Polly Lane,AT&T,guyed-lattice,188,185,,,,
,Bethel,* Stony Hill Road,AT&T Wireless,utility pole,145,140,,,
,Ansonia,*** Wakelee Avenue,Verizon,self-support lattice,179,196,,,
,Avon,** Redwood Lane,T-Mobile,monopole,106,105,,,
Bridgeport,**** Trumbull Avenue,T-Mobile,self-support lattice,200,240,,,,
,Avon,** Montevideo Road,Sprint,self-support lattice,86,150,,,
Coventry,**** Main Street,Sprint,self-support lattice,180,190,,,,
Branford,** Sylvia Street,Sprint,monopole,90,125,,,,
East Haven,*** Commerce Street,AT&T,monopole,55,57,,,,
,Berlin,**** Berlin Turnpike,Cingular,monopole,170,180,,,
,Beacon Falls,*** Lopus Road,AT&T,monopole,146,150,,,
Darien,*** Ledge Road,Clearwire,monopole,73,120,,,,
Bridgeport,*** Kaechele Place,Verizon,monopole,100,156,,,,
East Hartford,*-* Oakland Avenue,Pocket (now MetroPCS),smokestack,110,125,,,,
Bridgeport,**** Trumbull Avenue,VoiceStream,self-support lattice,202,240,,,,
,Andover,*** Bunker Hill Road,Sprint,monopole,168,180,,,
East Hartford,**** Forbes Street,AT&T,monopole,120,130,,,,
Colchester,** Old Hartford Road,T-Mobile,self-support lattice,95,100,,,,
Danbury,** Newtown Road,BAM,monopole,90,96,,,,
Cromwell,*** Main Street,T-Mobile,monopole,85,125,,yes,,
Branford,*** West Main Street,AT&T Wireless,monopole,100,120,,,,
Canton,** Powder Mill Road,AT&T,monopole,137,180,,,,
Danbury,** Newtown Road,Cingular,monopole,100,96,,,,
Darien,*** Ledge Road,MetroPCS,monopole,82,120,,,,
,Bloomfield,**** Blue Hills Avenue,SNET/Cingular,self-support lattice,97,125,,,
Coventry,*** Riley Mountain Road,Cingular,monopole,119,150,,,,
Cromwell,*** Shunpike Road,SCLP,self-support lattice,114,170,,,generator,
Columbia,** Thompson Hill Road,AT&T,monopole,,,,,diesel generator,20-kilowatt
Brooklyn,Valentine Road,Omni,self-support lattice,157,180,,,,
Bridgeport,*** Kaechele Place,T-Mobile,monopole,120,156,,,,
Darien,*** Ledge Road,Sprint PCS,monopole,120,120,,,,
Branford,** Acorn Road,Metricom,monopole,116,150,,,,
East Haddam,*** Parker Road,AT&T,guyed-lattice,185,300,,,,
,Bethel,** Spring Hill Lane,AT&T,monopole,123,125,,,
Bridgeport,**** Trumbull Avenue,AT&T Wireless,self-support lattice,,,,,,
Branford,***-*** North Main Street,T-Mobile,monopole,121,147,,,,
Canton,*** East Hill Road,AT&T,monopole,150,150,,,,
Branford,*** West Main Street,Clearwire,monopole,118,130,,,,
Danbury,** Hospital Avenue,T-Mobile,rooftop,154,185,,,,
Colchester,*** Old Hartford Road,DISH,monopole,40,61,,yes,,
Bridgeport,**** Connecticut Avenue,AT&T,monopole,106,126,,yes,,
Columbia,*** Route ** South,AT&T,monopole,150,120,,,,
Cheshire,*** Highland Avenue,T-Mobile,monopole,148,160,,,,
,Bethel,** Francis J. Clarke Circle,AT&T,monopole,125,155,,,
,Bloomfield,**** Blue Hills Avenue,Sprint,self-support lattice,87,130,,,
Branford,** Acorn Road,AT&T,monopole,140,150,,,,
Brooklyn,*** Brown Rd,Verizon,monopole,127,150,,,,
Canton,*** Cherry Brook Road,T-Mobile,monopole,129,150,,,,
Clinton,** Meadow Road,T-Mobile,self-support lattice,192,195,,,,
East Hampton,* Public Works Drive,Verizon,monopole,157,180,,,,
Cromwell,*** Main Street,MetroPCS,monopole,,125,,,,
East Hartford,**** Forbes Street,Verizon,monopole,110,130,,,,
Bloomfield,** Brewer Drive,Cingular,monopole,97,120,,,,
Branford,*** Brushy Plain Road,Cingular,monopole,153,154,,,,
Cheshire,*** Highland Avenue,Cingular,monopole,127,160,,,,
Bolton,*** Vernon Road,Eversource,guyed-lattice,var.,280,,,,
Canton,*** East Hill Road,T-Mobile,monopole,135,150,,,,
,Berlin,*** Beckley Road,MetroPCS,monopole,,150,,,
Cromwell,*** Main Street,Pocket (now MetroPCS),monopole,85,125,,,,
East Granby,*** Newgate Road,BAM,monopole,78,83,,,,
East Haven,*** Commerce Street,T-Mobile,monopole,47,58,,,,
Coventry,*** Riley Mountain Road,T-Mobile,monopole,137,150,,,,
Bloomfield,** Brewer Drive,VoiceStream,monopole,107,120,,,,
Bloomfield,*** Blue Hills Avenue,Verizon,monopole,107,110,,,,
Brookfield,** Carmen Hill Road,Sprint,guyed-lattice,256,455,,,,
Deep River,** Pent Road,AT&T,monopole,,,,,diesel generator,30-kilowatt
,Berlin,**** Chamberlain Highway,T-Mobile,monopole,100,125,,,
Brookfield,*** Park Ridge Road,T-Mobile,utility pole,125;132,100,,,,
Branford,*** Brushy Plain Road,T-Mobile,monopole,140,154,,,,
East Hampton,*** Young Street,T-Mobile,monopole,130,140,,,diesel generator,25kW & 220 gallon tank
,Beacon Falls,*** Rimmon Hill Road,Verizon,monopole,149,170,,,
Branford,*** Brushy Plain Road,SNET Cellular,monopole,150,150,,,,
Danbury,*** Boxwood Lane,Nextel,self-support lattice,98,100,,,,
Canton,** Canton Springs Road,SCLP,monopole,130,140,,,,
East Hartford,*** Roberts Street Rear,DISH,monopole,79,130,,yes,,
Docket No. 242,Andover,*** Jonathan Trumbull Highway,AT&T,monopole,150,150,,,
,Avon,*** Deercliff Road,T-Mobile,guyed-lattice,240,560,,,
Cromwell,*** West Street,T-Mobile,monopole,"51, 41",54,,,,
Derby,** Pleasant View Road,T-Mobile,monopole,114,120,,,,
Coventry,*** Riley Mountain Road,AT&T,monopole,120,150,,,,
Danbury,Moses Mountain,SNET/SCLP/DPS,self-support lattice,52,65,,,,
East Haddam,*** Parker Road,,guyed-lattice,,300,,,,
,Berlin,*** Beckley Road,Sprint,monopole,152,150,,,
,Avon,** Redwood Lane,VoiceStream,monopole,106,105,,,
Darien,*** Ledge Road,Sprint/Nextel,monopole,120,120,,,,
Clinton,** East Main Street,Verizon,self-support lattice,50,68,,,10 kW generator,
Bridgeport,*** Pine Street,Metricom,self-support lattice,124,248,,,,
Cheshire,*** Higgins Road,T-Mobile,self-support lattice (type J),211,269,,,,
Deep River,*** Winthrop Road,AT&T,monopole,150,180,,yes,,
Canton,** Canton Springs Road,Omni,monopole,100,140,,,,
,Berlin,*** Beckley Road,DISH,monopole,105,150,,yes,
Branford,***-*** North Main Street,T-Mobile,monopole,122,157,,,,
,Bethany,* Meyers Road,"DHS, ICS",self-support lattice,194,338,,,
East Haven,**** North High Street,AT&T,guyed-lattice,71,77,,,nat gas generator,
Docket No. 458,Bethel,** Codfish Hill Road,Verizon,monopole,150,150,,,diesel generator
Bristol,*** Farmington Avenue,Pocket (now MetroPCS),monopole,98,120,,,,
Bridgeport,**** Trumbull Avenue,T-Mobile,self-support lattice,205,240,,,,
Canton,** Powder Mill Road,Sprint,monopole,177,180,,,,
East Haddam,*** Parker Road,Cingular,guyed-lattice,185,300,,,,
,Ansonia,*** Wakelee Avenue,T-Mobile,self-support lattice,148,196,,,
Bolton,*** Vernon Road,AT&T,guyed-lattice,,150,,,diesel generator,
Durham,***R Old Blue Hills Road,AT&T,monopole,74,120,,,,
Bridgeport,**** Trumbull Avenue,Marcus Communications,self-support lattice,"237, 247,217",240,,,,
Colchester,** Old Hartford Road,DPS,self-support lattice,,100,,,,
,Andover,*** Bunker Hill Road,SNET/Cingular,monopole,137,180,,,
Durham,** Town House Road,AT&T,utility pole,37,39,,,,
East Hartford,**** Forbes Street,BAM,,,,,,,
Danbury,** Hospital Avenue,T-Mobile,rooftop,"127, 154",185,,,,
Brooklyn,*** Grant Hill Road,AT&T,monopole,129,150,,,,
Danbury,Moses Mountain,SNET/SCLP/WRNN TV,self-support lattice,50,65,,,,
Bristol,*** Terryville Avenue,Pocket (now MetroPCS),monopole,156,170,,,,
,Beacon Falls,*** Rimmon Hill Road,AT&T,monopole,159,170,,,
Canton,*** Cherry Brook Road,AT&T Wireless,monopole,140,150,,,,
,Berlin,**** Chamberlain Highway,Sprint,monopole,123,125,,,
Bloomfield,** Brewer Drive,Sprint,monopole,120,120,,,,
,Bloomfield,**** Blue Hills Avenue,AT&T Wireless,self-support lattice,108,130,,,
Columbia,*** Route ** South,Verizon,monopole,135,148,,,,
Durham,** Town House Road,Verizon,monopole,27,30,,,,
,Berlin,*** Kensington Road,SCLP,monopole,149,190,,,
,Bethany,* Meyers Road,Verizon,self-support lattice,180,338,,,
Chaplin,*** Palmer Road,,monopole,,150,,,,
Chaplin,*** Palmer Road,T-Mobile,monopole,116,150,,,,
Columbia,** Thompson Hill Road,AT&T,monopole,140,180,,,,
East Haddam,*** Parker Road,SNET/SCLP,guyed-lattice,185,300,,,,
East Hartford,*** Main Street,Verizon,rooftop,99,112,,,,
Colchester,** Westchester Road,AT&T,monopole,157,180,,,,
Danbury,Moses Mountain,SNET/SCLP,self-support lattice,59,65,,,,
Brookfield,*** Park Ridge Road,VoiceStream,utility pole,"125'8""; 132'4""",115,,,,
Cromwell,*** Shunpike Road,T-Mobile,self-support lattice,125,170,,,,
Darien,*** Ledge Road,T-Mobile,monopole,110,120,,,,
,Berlin,**** Berlin Turnpike,T-Mobile,monopole,160,180,,,
Danbury,*** Boxwood Lane,Sprint Nextel,self-support lattice,99,100,,,,
Colchester,*** Route **,Sprint,monopole,180,180,,,,
Cornwall,Mohawk Mountain Road,DPS/DPH/DEP/Sheriff,self-support lattice,60-180,180,,,,
Deep River,*** Winthrop Road,Cingular,monopole,150,180,,,,
East Hartford,**** Forbes Street,BAM/Sprint,monopole,97,110,,,,
East Hartford,*** Roberts Street Rear,MetroPCS,monopole,,130,,,,
,Berlin,**** Chamberlain Highway,Sprint,monopole,121,125,,,
Clinton,** Meadow Road,DISH,self-support lattice,130,195,,yes,,
Darien,*** Ledge Road,Sprint,monopole,117,120,,,,
Branford,** Sylvia Street,DISH,monopole,81,125,,yes,,
Bridgeport,*** Kaechele Place,Verizon,monopole,99,156,,,,
Derby,** Pleasant View Road,T-Mobile,monopole,120,120,,,,
Clinton,** Meadow Road,AT&T,self-support lattice,n/a,195,,,diesel generator,
Canton,*** East Hill Road,Cingular,monopole,150,150,,,,
,Avon,*** Deercliff Road,AT&T,guyed-lattice,200,560,,,
Burlington,** Nepaug Road,AT&T,monopole,120,120,,,,
East Hampton,* Public Works Drive,Verizon,monopole,160,180,,,diesel generator,
Burlington,** Nepaug Road,Pocket (now MetroPCS),monopole,88,120,,,,
Brooklyn,*** Brown Rd,DISH,monopole,138,150,,yes,,
,Berlin,**** Chamberlain Highway,DISH,monopole,111,133,,yes,
,Berlin,**** Chamberlain Highway,AT&T,monopole,133,133,,,
Branford,** Acorn Road,SCLP,monopole,105,150,,,,
Durham,***R Old Blue Hills Road,Sprint,monopole,,120,,,,
Coventry,*** Riley Mountain Road,Cingular/AT&T,monopole,107,150,,,,
Brookfield,** Vale Road,AT&T,monopole,161,165,,yes,Diesel fueled generator,15-kilowatt
