uid,area,outages,dt_stamp
208542024-06-17T11:45:35,20854,4,2024 Jun 17 11:45:35 AM
208722024-06-17T11:45:35,20872,1,2024 Jun 17 11:45:35 AM
208822024-06-17T11:45:35,20882,1,2024 Jun 17 11:45:35 AM
209022024-06-17T11:45:35,20902,26,2024 Jun 17 11:45:35 AM
210302024-06-17T11:45:35,21030,5,2024 Jun 17 11:45:35 AM
210752024-06-17T11:45:35,21075,4,2024 Jun 17 11:45:35 AM
210842024-06-17T11:45:35,21084,4,2024 Jun 17 11:45:35 AM
210932024-06-17T11:45:35,21093,4,2024 Jun 17 11:45:35 AM
211132024-06-17T11:45:35,21113,4,2024 Jun 17 11:45:35 AM
211402024-06-17T11:45:35,21140,4,2024 Jun 17 11:45:35 AM
212022024-06-17T11:45:35,21202,4,2024 Jun 17 11:45:35 AM
212092024-06-17T11:45:35,21209,4,2024 Jun 17 11:45:35 AM
212132024-06-17T11:45:35,21213,4,2024 Jun 17 11:45:35 AM
212152024-06-17T11:45:35,21215,28,2024 Jun 17 11:45:35 AM
212162024-06-17T11:45:35,21216,4,2024 Jun 17 11:45:35 AM
212172024-06-17T11:45:35,21217,24,2024 Jun 17 11:45:35 AM
212212024-06-17T11:45:35,21221,4,2024 Jun 17 11:45:35 AM
212222024-06-17T11:45:35,21222,4,2024 Jun 17 11:45:35 AM
212262024-06-17T11:45:35,21226,6,2024 Jun 17 11:45:35 AM
212272024-06-17T11:45:35,21227,40,2024 Jun 17 11:45:35 AM
212312024-06-17T11:45:35,21231,4,2024 Jun 17 11:45:35 AM
211132024-06-17T12:00:39,21113,4,2024 Jun 17 12:00:39 PM
211402024-06-17T12:00:39,21140,4,2024 Jun 17 12:00:39 PM
212022024-06-17T12:00:39,21202,4,2024 Jun 17 12:00:39 PM
212092024-06-17T12:00:39,21209,4,2024 Jun 17 12:00:39 PM
212132024-06-17T12:00:39,21213,4,2024 Jun 17 12:00:39 PM
212152024-06-17T12:00:39,21215,28,2024 Jun 17 12:00:39 PM
212162024-06-17T12:00:39,21216,4,2024 Jun 17 12:00:39 PM
212172024-06-17T12:00:39,21217,24,2024 Jun 17 12:00:39 PM
212192024-06-17T12:00:39,21219,4,2024 Jun 17 12:00:39 PM
212212024-06-17T12:00:39,21221,4,2024 Jun 17 12:00:39 PM
212222024-06-17T12:00:39,21222,65,2024 Jun 17 12:00:39 PM
212262024-06-17T12:00:39,21226,6,2024 Jun 17 12:00:39 PM
212272024-06-17T12:00:39,21227,40,2024 Jun 17 12:00:39 PM
212312024-06-17T12:00:39,21231,4,2024 Jun 17 12:00:39 PM
216662024-06-17T12:00:39,21666,4,2024 Jun 17 12:00:39 PM
217692024-06-17T12:00:39,21769,47,2024 Jun 17 12:00:39 PM
217712024-06-17T12:00:39,21771,103,2024 Jun 17 12:00:39 PM
217802024-06-17T12:00:39,21780,1,2024 Jun 17 12:00:39 PM
218012024-06-17T12:00:39,21801,4,2024 Jun 17 12:00:39 PM
219042024-06-17T12:00:39,21904,4,2024 Jun 17 12:00:39 PM
206032024-06-17T12:07:21,20603,4,2024 Jun 17 12:07:21 PM
206182024-06-17T12:07:21,20618,3,2024 Jun 17 12:07:21 PM
206462024-06-17T12:07:21,20646,4,2024 Jun 17 12:07:21 PM
206572024-06-17T12:07:21,20657,4,2024 Jun 17 12:07:21 PM
